date,value,memo
2025-09-29,11,
2025-09-30,3,
2025-10-01,7,
2025-10-03,1,개천절
2025-10-06,0,추석 당일
2025-10-07,1,추석 다음날
2025-10-08,2,추석 대체공휴일
2025-10-09,0,한글날
2025-10-13,6,
2025-10-14,8,
2025-10-15,9,
2025-10-16,3,
2025-10-17,9,
2025-10-20,12,
2025-10-23,6,
2025-10-24,11,
2025-10-28,10,
2025-11-03,13,연말 정산 이슈
2025-11-04,4,
2025-11-07,2,본사 워크숍
2025-11-11,9,
2025-11-13,11,
2025-11-17,13,
2025-11-21,12,
2025-11-27,11,
2025-12-01,7,
2025-12-05,6,
2025-12-10,15,신규 지점 오픈
2025-12-12,14,
2025-12-15,7,
2025-12-18,13,연말 정산 이슈
2025-12-23,12,
2025-12-24,10,
2025-12-25,0,크리스마스
2026-01-02,8,
2026-01-07,10,
2026-01-08,10,
2026-01-09,6,
2026-01-13,7,
2026-01-15,14,
2026-01-16,12,
2026-01-19,7,
2026-01-28,8,
2026-01-30,9,
2026-02-04,18,신규 지점 오픈
2026-02-05,11,
2026-02-10,8,
2026-02-16,2,설날 전날
2026-02-17,0,설날 당일
2026-02-18,1,설날 다음날
2026-02-23,9,
2026-03-02,2,삼일절 대체공휴일
2026-03-04,10,
2026-03-06,14,
2026-03-13,18,채용 시즌 시작
2026-03-16,8,
2026-03-18,6,
2026-03-23,6,
2026-03-25,8,
2026-03-31,2,본사 워크숍
2026-04-01,8,
2026-04-02,7,
2026-04-03,4,
2026-04-09,6,
2026-04-14,0,
2026-04-16,11,
2026-04-20,12,
2026-04-22,4,
2026-04-24,13,
2026-04-27,8,
2026-04-28,10,
2026-04-30,7,
2026-05-01,13,
2026-05-04,9,
2026-05-05,0,어린이날
2026-05-06,16,
2026-05-11,12,
2026-05-14,15,채용 시즌 시작
2026-05-15,12,
2026-05-20,2,
2026-05-22,4,
2026-05-25,2,부처님오신날 대체공휴일
2026-05-26,2,
2026-05-28,10,
2026-06-04,6,
2026-06-08,8,
2026-06-12,11,
2026-06-16,7,
2026-06-17,11,
2026-06-18,8,
2026-06-24,8,
2026-07-01,12,
2026-07-03,2,
2026-07-08,10,
2026-07-14,8,
2026-07-17,0,제헌절
2026-07-20,3,
2026-07-22,7,
2026-07-28,1,여름 휴가철
2026-08-03,2,여름 휴가철
2026-08-04,4,
2026-08-05,4,
2026-08-07,8,
2026-08-10,1,
2026-08-11,2,
2026-08-14,5,
2026-08-17,0,광복절 대체공휴일
2026-08-18,1,
2026-08-20,4,
2026-08-21,4,
2026-08-27,2,
2026-09-03,5,
2026-09-04,8,
2026-09-07,9,
2026-09-08,4,
